id,name
57770,spiregg
39803,Mercure
32815,Omega Productions
24441,"TALESSHOP Co., Ltd."
3942,entalize
3943,Ubisoft South Korea
19979,Mujo Games
7029,93 Games Studio
13029,AMG Games
44042,East Valley Software
46067,OneManOnly Studios
5312,Sparpweed Games
5178,The Foundry
12433,Semaphore
33415,7th Road
54681,Scipio
12702,BurningFlower
43775,Flying Jack Productions
14734,7levels
57771,Aaron Ware
57382,Sibling Games
14771,NMC Studios
22501,Mike Karman
38520,Titan Arrow Games
32538,Teddy Toussaint
46416,felix lecocq
49569,RexxNorilsk
4192,NAC Inc.
12879,gamesonlinecorner
40424,Firehazard Studio
31892,AlignmentSharp
14271,Stabbarey
57412,Minds2Bros
30623,Traveler Project
22641,CyOEntertainment
54682,Trabi Games
2071,Ariolasoft
12683,Darril Arts
5685,Comgad
38415,AI Funk
12711,NomaGames
24731,AlyStudio
12873,Act 3 Games
49832,LMPuny
16207,C.P.M. Chapman
32044,JO Dev
5117,Hodder & Stoughton
54166,Bitfire Games
5171,Neostream
43221,Flt Studio
42748,Hunter Hamster Studio
56372,TioMedusin
53252,The A-Team
29487,Laika Animation Studio
57417,TheSleepyKoala
33815,PIXEL MINT
54937,Mithril Interactive
47416,Huy Le
29418,Harold Studios
54167,Autumn Chen
18538,racoonbytes
33425,ShiroKuroSoft
28818,Nick Montfort
19539,manQ
26576,EpicWade123
38601,Marco Noordergraaf
26608,Frostlind Games
54683,Wmm 555
28706,Burnout Game Ventures
22747,EquiDev
49833,Alex No
24910,jota-gil
24930,Catpad
24949,Renaissance
16961,vt
24990,VivaGames
5051,On A roll studios
17055,Phenomenon Games
13079,"Miles Computing, Inc."
43222,PVGames
57413,Legion Corn
46808,AutumnTower Studio
24908,上海游七网络科技有限公司
7429,(Archive) PopTop - duplicate
18139,风暴工作室
54168,Jasper van Turnhout
16210,Offworld Games
39403,R_Games
59078,SynergyGunZ
5759,Digital Outpost
5760,Gumas Advertising
15349,Stars Ashes
33538,Blackwood Recordings
29804,Lifline Ventures
54939,EmadePlus
37416,Odessa Project
13554,GameOrchard Productions
28297,Xingpan ( 北京星磐科技 )
5591,Sunrise
5597,KES
16602,Info Enterterainment
30638,Over Hook Games
38661,Twinsanity's Channel
23697,Justin Herrick
39720,Tiancity
26723,Virtex Edge Design
21233,Anatoliy Loginovskikh
30819,Wily Pumpkin
37827,Team Dead or Alive
6979,Lumenox
44041,Dark Entertainment
20051,WB Music Corp.
16140,1P2P Studio
54169,Piranha Fang
49570,Warcrown Entertainment
38506,US8
7818,BigBlueCup Community
48314,Tiernan Brazil
19959,Planet Interactive Development
32821,Netzweck GmbH
5929,DGCIS
16597,Ichimonkai.corp
12857,Soiree Games
5253,Streko Graphics
16598,EAT & Co
16599,Imutaya
16604,XING Inc.
37607,MansterSoft
25617,Coding Iggy
30622,L2 Games
26624,Something Something Games
21786,IZMA
23004,Sprite Hills
12892,American Action AB
17977,LFiO Studio
18005,CasualGames.nu
5435,Pacific Ocean Post
20068,Alley Music Corp. (BMI)
32808,Homeostase
57102,FedoraFriday
42140,What's a Mook? Games
333,EA Singapore
23362,Jint Game
23365,Roman Loznevoy
15372,Dumb Luck Games
39407,Slordef
15355,Abraxas Interactive
36221,Good Badger
58224,PsychoPlasm
57418,artem749
28819,Megafauna
31821,Lin Meyer
12955,Jake Johnson
13271,Mandel ArtPlains
20570,Abyte Entertainment
37992,厦门雷云
35978,Monstar Mods
6301,Tokyo Denki University
32983,R&R Software
50601,Siurell Games
16603,Acecook
16632,B&V Corporation
34984,Circle Infotech
30988,TROOOZE
52990,Gustavo Jose da Silva
36990,ViewApp
41992,hiyoriosin
18004,cyreides
24141,Sketch House Games
44044,DravelStudios
57103,Mar99troid
18158,Trueyuna Technology Co. Ltd.
16208,G.R. Brooks
12032,HEROZ
9319,House of Tales
23364,Art Interactive
15367,Özgün Bursalıoğlu
40417,AO Games
15351,probe_31
16581,New Japan Pro-Wrestling
33602,Jakey Mumfie
53726,Davka Corporation
6090,"Dean ""Rocket"" Hall"
18157,CCYY
5766,MusicWorks
36538,Unfinished Circl
32773,Wolfy
6302,Dr Pepper
19571,Tek Systems Canada
20417,CODEPINK
6442,The Hungarian Studio Orchestra
29474,Lollipop Robot
38602,2ForallGames
6651,Phonetic Arts
7695,SMP
13745,Zwing Games
5761,Eldoren Consulting
18779,NighthoodGames
33802,GameDev United
13808,Einsoft
29809,Volumetric
32818,AHAKuo
35827,Commodore Educational Software
5879,Denkieizo
22894,"(Archive) eGames, Inc."
8906,GSProductions Ltd.
5930,La Mandarine
23964,Plasticity Studios
29993,Game Museum
10040,IR-Entertainment Ltd.
20070,BMG Rights Management (US) LLC.
18085,Elyland
8095,(Archive) DUPLICATEKochMedia
7096,Pixelnest Studio
7123,Techland Soft
8180,ShadowShifters
8199,FullPowerSideAttack.com
6447,Mission Support Specialist
7313,FLY Films
58226,Karmic Studio
57416,Tiny Shiny Things
42731,2112Games
7304,Sakuratei Motion Capture
52764,AI Gaming Dev
6874,Robert Bosch
7309,Glass Eye Pix
7408,Design Design
6875,Roush Fenway Racing
54687,Darkcrusader
19502,Shonen-gahosha
7559,TURBO TAPE GAMES
50602,MarcialART
19605,Liquid Crimson
6652,Play it by Ear Adio
6661,Moi
31716,Dungeoneer Games
6956,sparsevector
20983,WORSAL Co.
33990,Robert G. Kilgus
8049,Punchers Impact
20052,Senny Sosa Musik (ASCAP)
7124,Seven Stars
57442,Pariton?
48312,a_coneish_one
7331,Filmakademie Baden-Württemberg
6362,Nova Game Design
38384,Sonomio Games
10399,Illutron
17489,Hungrhub
6495,DENGEKI Online
7139,Play Byte
22524,Lotos Project
19563,Codefly Software
6604,National Archives and Records Administration
26820,Super Villain Games
7208,imcGames
20215,Sand Fish Games
13480,Infomedia France
9965,KupiKey
31025,Richard A. Olsen
6966,Mail.Ru Games
42836,Goose Byte
6473,USC School of Cinematic Arts
12053,Imagility
17498,Quarterstick Records
57458,Asiaman
46520,Keyword Studios Katowice
7310,EPK
7323,Icon Art
23532,van der Plauze
6541,Cameron Kunzelman
23554,David Kaleta
19573,Pugee
49683,Fuzzy
54688,31 Games
47520,Critical Rabbit
41727,ISY
9058,YETi CGI
54174,Finndustries
7245,Bay Area Sound
23339,Matt Hipp
6155,Cloudgine
13467,Sunscreen
9563,Games Starter
43731,MI Pixel
32412,Euphoric Brothers
42803,Jakub Domanski
57457,SQRT Games
52765,TF.Studio
6300,T-ZONE STRATEGY
27824,electric fantasies
22551,Dogan Oral
16991,Snarfblat Software
30825,Sole Goose Production
12083,Sundae Month
14562,Kaarst
14559,Dune Sound -Paris
14561,G + G Studios
6469,Veles Studio
7566,"Hassey Enterprises, Inc."
49575,AeonSparx Interactive
6650,HP Best Shore Services
54689,Tap Happy
19722,dotworks LLC
17002,Rafael Goettert Burgos
20071,"Flo & Eddie, Inc."
54175,VarnGameDev
18183,apoto5
13213,Scorpius Software
6323,SoftLab-NSK
19247,MAKER.GG
19036,ERS G Studios
7330,DivX
17334,Blackzebra Studios
13464,Igrek Games
43782,"Aqua System Co., Ltd."
43228,Cody Larkin
28962,Stanislaw Truchowski
22047,P1X
43784,DarkBloodbane
33805,FallenMaster
55262,Gregory Yob
38807,SquirrelHorse
26823,Damon L. Wakes
8495,Nekrosoft
7295,Outpost San Francisco
6824,Hyundai Motor
23934,Ben Johnson (bencelot)
8484,Sony Creative Software
13307,Spiral Summit Games
20572,Shakunage
19620,Skylark Studios
7633,Bill Corkey Productions
9949,Daedalic Studio West
7722,Channel 4
33826,CYBER RAIN Games
49835,GameGuy10
58934,Smearg
20080,Pronto Music (BMI)
35093,Cobysoft Co.
8162,Wingware
54176,Robin Poe
7182,CDS
32973,CesarZ
48311,ACO Industries
13732,Cheetahsoft Ltd.
45349,brandon3055
17356,Conclave Studios
3359,David Wilson Audio
17379,Earthlink
6327,ELF
3506,Movin On Livestock
7513,Muzzy Lane Software
42538,thunderkerrigan
28710,Yasmany Roman
7220,Red River Studio
19876,Ozysoft
29320,Rokyte Studio
12826,Unicorn Software Company
10593,Dragonfly
10517,Miciosegone Games
10922,2123
30545,Golden Fish Entertainment
5284,The Sleeping Machine
52005,Gamesforgames
7318,Virus Studios
23643,Ryan Wiemeyer
13645,Jadan Bliss
12677,221b Games
7681,Davide Caio
7682,Nicolò Azzolini
7727,Lancarse
13972,Dinosaur Games
30993,Political Games LLC
8064,Brain Candy
9075,Duelboot
37101,Rockstar India
8337,Waz
7359,Unicon Products Inc.
7360,Sawano
23414,Adrian Marple
21602,Cyparade
42641,LeoGameDevs
56730,Imagineer Interactive
13161,Wishary Games
13221,Contra Mundum
10784,Nimrod
9284,Kapten Nemos
10325,Platinum Productions
23523,VRA-Games
23163,Cavan Fyans
8527,FXpansion
10327,Studio Voltz
25804,MiraSpace Entertainment
46538,PlayStation Studios QA Japan
7554,Pom Pom Games
44898,devirtualized
8635,Demon Wagon Studios
33638,E2 Soft
19680,Lumi Consulting
54691,Concrete Parasite
7961,Pirozhok
7004,Mechabit
8971,Qwiboo Ltd
32972,Steven Miller
7999,UIG
10132,Shock Developments
8158,Bytes of Learning
10175,Acclaim Black Team
54177,Weeping studio
8345,stage-nana
10369,DM Media
8498,Decent Machine
40564,Links DigiWorks Co. Ltd Sakuratei
6649,Opakis
52768,SlushyRH
29774,IGN
30818,NauticalNoodle
26128,Lego Amigo
44128,neozoid.games
10182,Castro Brothers
10918,Atari Program Exchange
3721,Dan Gorlin
52770,ascaniio
8897,DragonSix
20993,Theatre Company Subaru
8439,Classified Games
11074,Propellerheads Sofrware
11076,Soundtrack NY
10092,ANGames
10482,Enigma 23
9266,Gives
10490,Dan & Gary Games
31499,Moe Touhou
19606,ARMS Band
7627,Cubed Productions LLC
8639,Diffusional Arts
19652,Gun Snark
19653,EX Ltd.
37663,Paper Waifu
19677,Studio Bento
8716,Eric Froemling
23153,Alb Prod.
54178,Hakan ALTINOK
37366,Slider Games
34216,James Earl Cox III
11233,Mocaptools
10375,Digital Dreams
9430,Wookanana Limited
10140,Minato Giken
7632,stealth.gg
8634,"Ideum, Inc."
8727,Tal Studio
48773,Lilla Turi
9186,Game Insight
10211,Pacific Softscape
34499,Umeemee to roku de nashi
23541,Top Ten Software
10735,Opt. Inc.
20410,Drodo
9596,SMAC Games
13741,Noema Games
13752,Device Oriented Games
10785,Onezize
55860,Semicolon Software
20619,Top Shelf Studios
9639,Shelby Japan
10681,CRASS Infotech
23685,Allen Games
54693,Hummingbird Games Studio
30706,tkon
19710,Future Beats Records
28715,Augmented Irreality
18778,Holy Warp
30792,Solidplasma Studios LLC
10819,Challenger Software International
27820,strudelmuffin1
20981,Annex Digital Inc.
10981,T3Fun
9002,Axe Eel Games
9012,Kraken Games
10086,Magpie Computer Developments
30128,Skilled Craftmans
1254,FarSight Studios
16181,Sviper
12210,GexagonVR
33720,imaethan
13731,Einar Odinn Holm
19765,Red Pipe Studios
52773,Carbon & Kay
55867,Bare Bones
57698,Penguin Chilling Games
18784,WOBBL3 Entertainment LLC
13825,Cubic Motion Ltd
10491,Idun
49837,Neeberz
38456,iamRoarke
28457,Dragon Punch Storm
10470,GamePlan
42474,1TonSkeleton
10503,Studio ACE
23506,Catt Small
35567,E-Line Media Seattle
13756,Cogito Software Company
10608,White Wizard Games
19671,bobGate
30715,Michael Barbieri
9941,Unreal Voodoo
9972,"The Nashville Scoring Orchestra, Nashville, TN"
19997,G5E
19018,FullmetalDeveloper
37175,Gaimonn
19246,Black FishMaker
53311,Nerdy Teachers
33426,Ponce Corp
9347,Peace
10467,Blam!
10520,UBJ3D
8597,Calvin Weibel
9004,Mårten Jonsson
43164,Sateda
16749,Esoterics
26168,Little Guy Games
13767,Christine Love
45170,Sumalab
10290,WebAvenue Unipessoal Lda
10292,Terminal Press
23135,Pirotexnik
14519,Penrose Studios
14558,"The Prague Filmharmonic Orchestra, Czech Republic"
20630,senshi.lab
17330,t-recs studios
23633,Thomas Lu
54696,Dreamagination
14797,Space Lizard Studio
14518,RadarJam
27819,Dimitri Kozma
33827,MoonGames
22836,Elephant Mouse LLC
5894,Salu Ltd.
17897,Osarion & Mountaineer
10910,"Absolut Entertainment, Inc."
36974,Tentworks Interactive
32984,NetIntellGames
23008,Peperoncino
10031,"GAMKIN, Inc"
37128,xeecee
13738,Two Tales
19143,Soon Studios
43238,Virtua Sinner
44169,Open Alpha
31802,Studio Tapio
11129,Barunson Creative
11130,G Unit Records
17149,Dual Studios
14307,Necrosoft Games
14806,Pixel Island
10872,P-Squared Productions
36506,Bake450 Inc.
13826,Geometrics Ltd
17437,Khive
17438,Kobako
10908,Thunder Game Works
49684,SpontGames
14325,Pixel Drop Studios
52545,REDiska
12022,My Dog Zorro
19673,TRANS Corp.
11173,BCI Software
13933,Amiga Action (Europress)
34970,Nasuvicchi
22980,Sound Technology Japan
28989,Asephy
11045,One Bit Labs
54697,Blank Dream Studios
14058,Generations Productions Choir
11075,SN Systems
11128,Pontiac
